CY_Admin,0
CY_announce,0
CY_announce2,0
CY_bumen,0
CY_cks,0
CY_class,0
cy_class2,0
cy_class3,0
cy_class4,0
cy_class5,0
cy_class6,0
CY_countshop,0
CY_counttotal,0
CY_down,0
CY_FAQ,0
CY_feedback,0
CY_feedback1,0
cy_feedbackclass,0
CY_file,0
CY_game,0
CY_hdgg,0
cy_hdgg2,0
cy_hdggclass,0
cy_hdggclass2,0
CY_hdtp,0
CY_hdtpclass,0
CY_hltz,0
CY_job,0
CY_jobs,0
CY_link,0
CY_log,0
CY_magazine,0
CY_News,0
cy_news1,0
cy_news2,0
cy_news3,0
cy_news4,0
cy_news5,0
cy_news6,0
cy_photobox,0
CY_product,0
CY_productclass,0
cy_productsclass,0
CY_QQ,0
CY_QQclass,0
CY_sp,0
CY_spclass,0
CY_tishi,0
CY_tongzhi,0
CY_tongzhiclass,0
CY_user,0
CY_userbal,0
CY_userbal_class,0
CY_vote,0
CY_webinfo,0
CY_wenhua,0
CY_wenhuaclass,0
CY_xqxz,0
CY_xqxz_users,0
CY_yxyg,0
CY_ztjq,0
CY_ztjqclass,0
CY_zxdc,0
CY_zxyy,0
guestbook,0
mast,0
CY_area,0
cy_class1,0
CY_countonline,0
CY_feedback2,0
CY_hltzclass,0
CY_photo,0
CY_Products,0
cy_tishiclass,0
CY_wall,0
CY_yxtd,0
cy_config,0
CY_feedback3,0
cy_news3_输出错误,0
CY_feedback2_输出错误,0
